"filename","name_orig","name_new"
newz101.rwl,CRE104,auPF
newz101.rwl,CRE106,auPG
newz101.rwl,CRE107,auPH
newz101.rwl,CRE108,auPI
newz101.rwl,CRE109,auPJ
newz101.rwl,CRE110,auPK
newz101.rwl,CRE111,auPL
newz101.rwl,CRE112,auPM
newz101.rwl,CRE113,auPN
newz101.rwl,CRE114,auPO
newz101.rwl,CRE115,auPP
newz101.rwl,CRE116,auPQ
newz101.rwl,CRE117,auPR
newz101.rwl,CRE124,auPS
newz101.rwl,CRE125,auPT
newz101.rwl,CRE128,auPU
newz101.rwl,CRE129,auPV
newz101.rwl,CRE130,auPW
newz101.rwl,CRE136,auPX
newz101.rwl,CRE137,auPY
newz101.rwl,CRE141,auPZ
newz101.rwl,CRE142,auQA
newz101.rwl,CRE149,auQB
newz101.rwl,CRE150,auQC
newz101.rwl,CRE151,auQD
newz101.rwl,CRE153,auQE
newz101.rwl,CRE156,auQF
newz101.rwl,CRE157,auQG
newz101.rwl,CRE161,auQH
newz101.rwl,CRE164,auQI
newz101.rwl,CRE168,auQJ
newz101.rwl,CRE119,auQK
newz101.rwl,CRE048,auQL
newz100.rwl,SNR001,auQM
newz100.rwl,SNR003,auQN
newz100.rwl,SNR010,auQO
newz100.rwl,SNR011,auQP
newz100.rwl,SNR013,auQQ
newz099.rwl,HOA001D,auQR
newz099.rwl,HOA001A,auQS
newz099.rwl,HOA001B,auQT
newz098.rwl,STP002,auQU
newz098.rwl,STP004,auQV
newz098.rwl,STP010,auQW
newz098.rwl,STP014,auQX
newz098.rwl,STP016,auQY
newz098.rwl,STP018,auQZ
newz098.rwl,STP019,auRA
newz098.rwl,STP021,auRB
newz098.rwl,STP023,auRC
newz098.rwl,STP025,auRD
newz098.rwl,STP026,auRE
newz098.rwl,STP030,auRF
newz098.rwl,STP031,auRG
newz098.rwl,STP035,auRH
newz098.rwl,STP038,auRI
newz098.rwl,STP039,auRJ
newz098.rwl,STP041,auRK
newz098.rwl,STP048,auRL
newz098.rwl,STP051,auRM
newz098.rwl,STP053,auRN
newz098.rwl,STP056,auRO
newz098.rwl,STP057,auRP
newz098.rwl,STP059,auRQ
newz098.rwl,STP067,auRR
newz098.rwl,STP068,auRS
newz098.rwl,STP069,auRT
newz098.rwl,STP070,auRU
newz098.rwl,STP072,auRV
newz098.rwl,STP073,auRW
newz098.rwl,STP074,auRX
newz098.rwl,STP075,auRY
newz098.rwl,STP076,auRZ
newz098.rwl,STP078,auSA
newz098.rwl,STP079,auSB
newz098.rwl,STP081,auSC
newz098.rwl,STP082,auSD
newz098.rwl,STP084,auSE
newz098.rwl,STP086,auSF
newz098.rwl,STP087,auSG
newz098.rwl,STP088,auSH
newz098.rwl,STP089,auSI
newz098.rwl,STP090,auSJ
newz098.rwl,STP091,auSK
newz098.rwl,STP092,auSL
